"date","check_category","audit_name","is_pass","observation","double_check_result","double_check_observation","snippet_id","video_link","start","finish","time_difference_sec"
"2026-02-23","Servicio al Cliente","Proceso de Cobro",True,"",NULL,NULL,"699cb1f7cc2a4765cc704ac5","https://portal.gritsee.com/orders/699cb1f7cc2a4765cc704ac5/station/67de0014bb6722e4e8c2a462/vt/13.858324","2026-02-23 18:03:50+00","2026-02-23 18:04:17+00",27
"2026-02-23","Servicio al Cliente","Proceso de Cobro",True,"",NULL,NULL,"699cb1f7cc2a4765cc704ac5","https://portal.gritsee.com/orders/699cb1f7cc2a4765cc704ac5/station/67de0014bb6722e4e8c2a462/vt/62.979964","2026-02-23 18:16:46+00","2026-02-23 18:19:26+00",160
"2026-02-23","Servicio al Cliente","Proceso de Cobro",True,"",NULL,NULL,"699cb1f7cc2a4765cc704ac5","https://portal.gritsee.com/orders/699cb1f7cc2a4765cc704ac5/station/67de0014bb6722e4e8c2a462/vt/128.906509","2026-02-23 18:25:11+00","2026-02-23 18:26:21+00",70
"2026-02-23","Servicio al Cliente","Proceso de Cobro",True,"",NULL,NULL,"699cb1f7cc2a4765cc704ac5","https://portal.gritsee.com/orders/699cb1f7cc2a4765cc704ac5/station/67de0014bb6722e4e8c2a462/vt/188.609202","2026-02-23 18:27:20+00","2026-02-23 18:28:13+00",53
"2026-02-23","Servicio al Cliente","Proceso de Cobro",True,"",NULL,NULL,"699cb1f7cc2a4765cc704ac5","https://portal.gritsee.com/orders/699cb1f7cc2a4765cc704ac5/station/67de0014bb6722e4e8c2a462/vt/283.219834","2026-02-23 18:41:06+00","2026-02-23 18:41:34+00",28
"2026-02-23","Servicio al Cliente","Proceso de Cobro",True,"",NULL,NULL,"699cf848b746258e828b3d64","https://portal.gritsee.com/orders/699cf848b746258e828b3d64/station/67de0014bb6722e4e8c2a462/vt/1.695356","2026-02-23 22:59:40+00","2026-02-23 23:00:30+00",50
"2026-02-23","Servicio al Cliente","Proceso de Cobro",True,"",NULL,NULL,"699cf848b746258e828b3d64","https://portal.gritsee.com/orders/699cf848b746258e828b3d64/station/67de0014bb6722e4e8c2a462/vt/30.773162","2026-02-23 23:08:58+00","2026-02-23 23:09:22+00",24
"2026-02-23","Servicio al Cliente","Proceso de Cobro",True,"",NULL,NULL,"699cf848b746258e828b3d64","https://portal.gritsee.com/orders/699cf848b746258e828b3d64/station/67de0014bb6722e4e8c2a462/vt/67.578959","2026-02-23 23:14:01+00","2026-02-23 23:14:52+00",51
"2026-02-23","Servicio al Cliente","Proceso de Cobro",True,"",NULL,NULL,"699cf848b746258e828b3d64","https://portal.gritsee.com/orders/699cf848b746258e828b3d64/station/67de0014bb6722e4e8c2a462/vt/87.763761","2026-02-23 23:15:01+00","2026-02-23 23:15:15+00",14
"2026-02-23","Servicio al Cliente","Proceso de Cobro",True,"",NULL,NULL,"699cf848b746258e828b3d64","https://portal.gritsee.com/orders/699cf848b746258e828b3d64/station/67de0014bb6722e4e8c2a462/vt/100.994248","2026-02-23 23:15:30+00","2026-02-23 23:15:45+00",15
"2026-02-23","Servicio al Cliente","Proceso de Cobro",True,"",NULL,NULL,"699cf848b746258e828b3d64","https://portal.gritsee.com/orders/699cf848b746258e828b3d64/station/67de0014bb6722e4e8c2a462/vt/140.813595","2026-02-23 23:24:47+00","2026-02-23 23:26:20+00",93
"2026-02-23","Servicio al Cliente","Proceso de Cobro",True,"",NULL,NULL,"699cf848b746258e828b3d64","https://portal.gritsee.com/orders/699cf848b746258e828b3d64/station/67de0014bb6722e4e8c2a462/vt/194.672626","2026-02-23 23:29:51+00","2026-02-23 23:34:28+00",277
